[INFO] | 2023-08-14 02:54:24 AM | analyzer.rubixi | Analysis started at: 2023-08-14 02:54:24 AM
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Version constraints: ['^0.4.15']
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | solc version: v0.4.15
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Callgraph generation started!
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Callgraph generation finished!
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Value Range Analysis started
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Generating return summary for DynamicPyramid
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Return summary generated for DynamicPyramid
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Range graph generated
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Processed function DynamicPyramid
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Generating return summary for addPayout
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Return summary generated for addPayout
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Range graph generated
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Processed function addPayout
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Generating return summary for currentMultiplier
[WARNING] | 2023-08-14 02:54:25 AM | analyzer.rubixi | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Return summary generated for currentMultiplier
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | State variable assignement do not exist
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Processed function currentMultiplier
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Generating return summary for currentFeePercentage
[WARNING] | 2023-08-14 02:54:25 AM | analyzer.rubixi | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Return summary generated for currentFeePercentage
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | State variable assignement do not exist
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Processed function currentFeePercentage
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Generating return summary for currentPyramidBalanceApproximately
[WARNING] | 2023-08-14 02:54:25 AM | analyzer.rubixi | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-08-14 02:54:25 AM | analyzer.rubixi | Return summary generated for currentPyramidBalanceApproximately
