[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Analysis started at: 2023-08-14 02:58:46 AM
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Version constraints: ['^0.4.24']
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | solc version: v0.4.24
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Callgraph generation started!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Callgraph generation finished!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Value Range Analysis started
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Generating return summary for fallback
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Return summary generated for fallback
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Range graph generated
[INFO] | 2023-08-14 02:58:46 AM | analyzer.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6 | Processed function fallback
