[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Analysis started at: 2023-08-14 02:57:34 AM
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | solc version: v0.4.19
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Callgraph generation started!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Callgraph generation finished!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Value Range Analysis started
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Generating return summary for fallback
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Return summary generated for fallback
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Processed function fallback
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Generating return summary for GetFreebie
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Return summary generated for GetFreebie
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | State variable assignement do not exist
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Processed function GetFreebie
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Generating return summary for withdraw
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Return summary generated for withdraw
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Range graph generated
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Processed function withdraw
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Generating return summary for Command
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | Return summary generated for Command
[INFO] | 2023-08-14 02:57:34 AM | analyzer.0x7a4349a749e59a5736efb7826ee3496a2dfd5489 | State variable assignement do not exist
