[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Analysis started at: 2023-08-14 02:59:58 AM
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Version constraints: ['^0.4.19']
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | solc version: v0.4.19
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Callgraph generation started!
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Callgraph generation finished!
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Interprocedural CFG generation started!
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Interprocedural CFG generation finished!
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Storage dependency graph generation started!
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Storage dependency graph generation finished!
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Value Range Analysis started
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Generating return summary for fallback
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Return summary generated for fallback
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Processed function fallback
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Generating return summary for Get
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Return summary generated for Get
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Processed function Get
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Generating return summary for withdraw
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Return summary generated for withdraw
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Range graph generated
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Processed function withdraw
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Generating return summary for Command
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Return summary generated for Command
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | State variable assignement do not exist
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Processed function Command
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Range graph generated
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Processed function slitherConstructorVariables
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Value Range Analysis took 0.001109 seconds
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Value Range Analysis finished
[INFO] | 2023-08-14 02:59:58 AM | analyzer.0xd2018bfaa266a9ec0a1a84b061640faa009def76 | Storage dependency graph compostion started!
